user_id,loan_type,loan_amount,interest_rate,loan_tenure,start_date,monthly_payment
0,asset_financing,65163.687241226544,21.230665823490437,3,2023-12-07 09:10:33.061131,22494.315522508423
0,education,96572.65537778694,12.402151307817178,36,2023-07-05 09:10:33.062135,3226.1749349208126
1,emergency,57999.573847900654,17.994531898716474,12,2023-11-04 09:10:33.062135,5317.249585330691
1,emergency,70331.23530570867,25.492531465548602,36,2024-01-07 09:10:33.062135,2814.7110869518524
2,emergency,320973.4688548069,28.64004368963296,12,2023-05-24 09:10:33.062135,31076.458599246413
3,asset_financing,87399.29852619585,20.962990683184927,12,2024-12-06 09:10:33.062135,8136.526190677338
3,emergency,51444.424354255505,21.916140412985268,6,2024-09-19 09:10:33.062135,9130.407613118476
4,emergency,185112.98510185102,25.351872174169905,24,2024-07-19 09:10:33.062135,9912.47264237547
5,business,161718.44936598057,25.368972318600843,12,2024-08-19 09:10:33.062135,15399.371776353319
6,education,138799.33030097553,14.19297851664982,6,2024-07-12 09:10:33.063139,24100.231314353878
6,emergency,164080.18599640465,22.65369197567788,36,2023-04-03 09:10:33.063139,6321.920391602847
6,business,172772.2153015663,17.69146718346507,24,2025-01-21 09:10:33.063139,8599.763493791277
6,business,161933.23471360136,32.26109580686743,6,2023-05-28 09:10:33.063139,29584.5051149325
6,business,79347.58571665872,25.753012814856376,12,2023-11-05 09:10:33.063139,7570.552806267392
7,emergency,217274.2162366626,19.784299384681336,3,2023-12-06 09:10:33.063139,74825.87659246374
8,education,131978.76558501914,35.942947734033254,24,2023-06-06 09:10:33.063139,7789.014420208498
8,business,73139.15670300824,14.889301890938135,3,2024-11-03 09:10:33.063139,24987.200642215117
8,asset_financing,120534.96748222767,19.373194008510502,3,2024-06-02 09:10:33.063139,41482.55187117116
8,personal,84866.37064040186,31.133065741890306,6,2023-09-19 09:10:33.063139,15456.17703668383
8,personal,65760.7302883976,13.25739109427667,12,2024-10-01 09:10:33.063139,5881.513418795021
9,asset_financing,48195.21506916096,32.03873293666569,36,2023-09-10 09:10:33.064142,2100.150167855097
10,personal,107886.04231887276,22.071057187363447,12,2024-02-29 09:10:33.064142,10101.217052248492
11,education,186116.5772734474,25.998057415501364,3,2024-01-27 09:10:33.064142,64746.21298321454
12,emergency,149897.75591690245,21.54442594639331,6,2023-10-09 09:10:33.064142,26576.110913042234
13,emergency,156002.433724527,22.22690971085354,12,2025-01-08 09:10:33.064142,14617.992738589177
13,personal,59587.42571600676,17.425897704253504,36,2023-08-24 09:10:33.064142,2137.106013463465
14,asset_financing,313630.61694775213,27.034968472246252,36,2023-04-03 09:10:33.064142,12809.921880060567
15,asset_financing,138684.4071110364,29.46070152540228,24,2023-11-21 09:10:33.064142,7715.7892586076705
15,education,146175.0263506971,17.190012676476695,36,2024-11-22 09:10:33.064142,5225.372096351483
16,business,53775.245173223724,21.80293395380358,6,2024-12-26 09:10:33.065309,9541.036107478689
